APPLE,BREAD,BUTTER,CHEESE,CORN,DILL,EGGS,ICE CREAM,KIDNEY BEANS,MILK,NUTMEG,ONION,SUGAR,UNICORN,YOGURT,CHOCOLATE
 ,Bread, , ,Corn,Dill, ,IceCream, , , , ,Sugar, , Yogurt, Chocolate
 , , , , , , , , ,Milk, , , , , , 
Apple, ,Butter, , ,Dill, ,IceCream, ,Milk, , , , , Yogurt, Chocolate
 , ,Butter,Cheese, ,Dill, , , ,Milk,Nutmeg,Onion, , , , 
Apple,Bread, , , , , , , , , , , , , , 
Apple,Bread,Butter,Cheese, ,Dill, ,IceCream, , ,Nutmeg, , , Unicorn, Yogurt, Chocolate
 , ,Butter, , , ,Eggs,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , , Yogurt, 
Apple, , ,Cheese, , ,Eggs, , , ,Nutmeg, ,Sugar, , Yogurt, 
Apple, , , ,Corn,Dill,Eggs,IceCream, ,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple, , , , ,Dill,Eggs,IceCream, ,Milk, ,Onion,Sugar, Unicorn, , Chocolate
Apple,Bread, ,Cheese, , , ,IceCream, , , , ,Sugar, Unicorn, , 
Apple,Bread, ,Cheese, ,Dill,Eggs,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , Yogurt, Chocolate
 , , , , , , , , , , ,Onion, , Unicorn, , Chocolate
 , , , , , , ,IceCream, , , , ,Sugar, , Yogurt, 
 , ,Butter, , , , , ,KidneyBeans, , , , , , , 
 , , , , , , , , , , , , , , Yogurt, 
Apple,Bread,Butter,Cheese, , , ,IceCream, , ,Nutmeg, ,Sugar, , , 
Apple, , , , , ,Eggs, , , , , , , , Yogurt, Chocolate
 ,Bread, ,Cheese, , , , ,KidneyBeans, , , ,Sugar, , , 
 ,Bread, , ,Corn, , ,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , 
Apple, , ,Cheese, , , ,IceCream, , , , ,Sugar, Unicorn, , 
Apple, ,Butter,Cheese, , , , ,KidneyBeans, , , , , Unicorn, Yogurt, 
 ,Bread, ,Cheese, ,Dill,Eggs,IceCream,KidneyBeans,Milk, , , , Unicorn, Yogurt, Chocolate
 ,Bread,Butter,Cheese, , ,Eggs,IceCream,KidneyBeans, , , ,Sugar, Unicorn, , Chocolate
 ,Bread, , ,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, 
 ,Bread,Butter, , , ,Eggs, , ,Milk, , , , , Yogurt, Chocolate
 ,Bread,Butter,Cheese,Corn, , , ,KidneyBeans,Milk, , , , Unicorn, , Chocolate
 ,Bread,Butter, , , , , , , , , , , , , 
 ,Bread,Butter, , , , , ,KidneyBeans,Milk,Nutmeg, , , Unicorn, Yogurt, Chocolate
Apple,Bread, , , , , ,IceCream, , , ,Onion, , , Yogurt, 
 , , , ,Corn,Dill, , , ,Milk, , , , Unicorn, , Chocolate
Apple,Bread,Butter, , ,Dill, , , ,Milk, , , , Unicorn, Yogurt, 
 , , ,Cheese, , ,Eggs, ,KidneyBeans, , , , , , , 
 , , , , ,Dill, , , ,Milk,Nutmeg, ,Sugar, , , 
 ,Bread, , , ,Dill, ,IceCream, , , ,Onion, , , , Chocolate
 , , ,Cheese, ,Dill,Eggs, , , , ,Onion, , Unicorn, , Chocolate
Apple, , ,Cheese,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
 , , , ,Corn, ,Eggs,IceCream, ,Milk,Nutmeg, , , , , Chocolate
 , ,Butter, , , , , ,KidneyBeans, , , ,Sugar, , , 
 ,Bread, ,Cheese,Corn, ,Eggs,IceCream, , ,Nutmeg, , , , Yogurt, 
Apple,Bread,Butter,Cheese,Corn, ,Eggs, ,KidneyBeans, , , , , Unicorn, , Chocolate
 ,Bread,Butter, , , , , , , , , , , , Yogurt, Chocolate
 ,Bread, , , , , , , , , ,Onion, , , , 
Apple,Bread, , ,Corn,Dill, ,IceCream,KidneyBeans,Milk, ,Onion, , , , Chocolate
 , , , , , , ,IceCream, , , , ,Sugar, , , 
 ,Bread, , ,Corn,Dill,Eggs,IceCream, ,Milk, , , , Unicorn, , 
 , , , , , , , , , , ,Onion, , , , 
Apple, , , , , , , , , , ,Onion, , , , Chocolate
 ,Bread, , , ,Dill, , , , , , ,Sugar, , Yogurt, Chocolate
 ,Bread,Butter,Cheese, ,Dill,Eggs, , , ,Nutmeg,Onion,Sugar, , , 
Apple, ,Butter,Cheese,Corn,Dill, , ,KidneyBeans,Milk, , , , Unicorn, , Chocolate
Apple,Bread,Butter, , , , , , , , ,Onion,Sugar, Unicorn, , Chocolate
Apple, , , ,Corn, ,Eggs,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , 
